優先度,項目,這是什麼,行程日期,建議預訂時間,價格NZD,預訂網址1,預訂網址2,狀態,備註
🔴第一優先,Queenstown 住宿（連住3晚）,皇后鎮市區或近郊住宿，作為聖誕節前後3晚的落腳點,Day5–7（12/23–12/26）,立即——旺季＋連住3晚房型少,待訂房確認,https://www.booking.com/searchresults.html?ss=Queenstown%2C+New+Zealand,https://www.airbnb.com/s/Queenstown--New-Zealand/homes,,訂完記得回來更新itinerary.md狀態
🔴第一優先,Christchurch 跨年住宿（連住3晚）,跨年夜到元旦後的基督城住宿，涵蓋跨年活動、Willowbank、Akaroa一日遊,Day13–15（12/31–1/2）,立即——跨年期間＋連住3晚,待訂房確認,https://www.booking.com/searchresults.html?ss=Christchurch%2C+New+Zealand,https://www.airbnb.com/s/Christchurch--New-Zealand/homes,,訂完記得回來更新itinerary.md狀態
🔴第一優先,Tasman Glacier Heli-Hike（直升機健行）,直升機來回接送＋實際穿冰爪走在塔斯曼冰河上，最多2小時冰上健行,Day11（12/29）09:00,立即——天候依賴＋熱門需及早卡位，24小時前可免費取消,945／人（4人3780起，10月起可能漲到995）,https://alpineguides.co.nz/tasman-glacier-heli-hike,,,
🔴第一優先,NZeTA＋IVL（4人電子簽證）,紐西蘭電子旅行許可＋國際旅客保育及旅遊稅，入境紐西蘭每人都必須辦理的證件,行前必辦,立即——便宜無壞處，早辦早安心，處理需72小時,17／人App申請（官網申請23／人）；4人共468,https://nzeta.immigration.govt.nz/,,,務必用官方網址或官方App申請，坊間有非官方仿冒網站
🟡第二優先,螢火蟲洞＋Milford Sound 峽灣套票,Te Anau螢火蟲洞遊船（晚間乘船入洞看螢火蟲）＋隔天Milford Sound峽灣遊船，套票合併比分開訂便宜,Day3（12/21）19:30／Day4（12/22）12:00,10月中前——旺季易額滿，套票比分開買省$35/人,約285／人（4人約1140）,https://www.realnz.com/zh-cn/specials/combo-deals/,,,
🟡第二優先,Christchurch Day1 住宿（1晚）,抵達首晚落腳處,Day1（12/19）,10月中前,待訂房確認,https://www.booking.com/searchresults.html?ss=Christchurch%2C+New+Zealand,https://www.airbnb.com/s/Christchurch--New-Zealand/homes,,
🟡第二優先,Oamaru 住宿（1晚）,藍企鵝觀賞當晚的落腳處,Day2（12/20）,10月中前,待訂房確認,https://www.booking.com/searchresults.html?ss=Oamaru%2C+New+Zealand,https://www.airbnb.com/s/Oamaru--New-Zealand/homes,,
🟡第二優先,Te Anau 住宿（2晚）,螢火蟲洞＋Milford Sound兩天活動期間的落腳處,Day3–4（12/21–12/22）,10月中前,待訂房確認,https://www.booking.com/searchresults.html?ss=Te-Anau%2C+New+Zealand,https://www.airbnb.com/s/Te-Anau--New-Zealand/homes,,
🟡第二優先,Wanaka 住宿（2晚）,瓦納卡湖區自由活動期間的落腳處,Day8–9（12/26–12/27）,10月中前,待訂房確認,https://www.booking.com/searchresults.html?ss=Wanaka%2C+New+Zealand,https://www.airbnb.com/s/Wanaka--New-Zealand/homes,,
🟡第二優先,Lake Tekapo 住宿（2晚）,庫克山冰河健行＋觀星團期間的落腳處,Day11–12（12/29–12/30）,10月中前,待訂房確認,https://www.booking.com/searchresults.html?ss=Lake+Tekapo%2C+New+Zealand,https://www.airbnb.com/s/Lake-Tekapo--New-Zealand/homes,,
